objectid,title,filename,format,author,isbn,date,longitude,latitude,location,subject,steam_theme,grade_level,summary,activity_connection,learning_objective,activity_duration
11,National Geographic Kids: Space Encyclopedia,ng_space.jpg,image,National Geographic Kids,9781426309489,2012,-93.6000,41.5900,"Des Moines, IA",science,Exploration,3; 4,Explores space and planets.,Students create space models.,Students will learn about space systems.,30–45 minutes
12,What Do You Do With an Idea?,yamada_idea_2014.jpg,image,"Yamada, Kobi",9781938298073,2014,-93.6000,41.5900,"Des Moines, IA",art,Creativity; Innovation,K; 1; 2,Encourages nurturing ideas.,Students brainstorm and create inventions.,Students will explore creative thinking.,20–30 minutes
13,Not a Box,portis_notabox_2006.jpg,image,"Portis, Antoinette",9780061123221,2006,-93.6000,41.5900,"Des Moines, IA",engineering,Imagination,K; 1,A rabbit imagines many uses for a box.,Students build with boxes.,Students will use imagination in design.,20–30 minutes
14,Dreaming Up,berkowitz_dreamingup_2012.jpg,image,"Berkowitz, Christy Hale",9781620914649,2012,-93.6000,41.5900,"Des Moines, IA",engineering; art,Design thinking,1; 2; 3,Connects block play to architecture.,Students recreate structures.,Students will explore design connections.,30–45 minutes
15,The Boy Who Harnessed the Wind,kamkwamba_wind_2012.jpg,image,"Kamkwamba, William",9780803735118,2012,-93.6000,41.5900,"Des Moines, IA",engineering; science,Innovation; Problem-solving,3; 4,A boy builds a windmill to help his village.,Students build simple wind models.,Students will apply engineering concepts.,45–60 minutes
16,How to Code a Sandcastle,dykman_code_2018.jpg,image,"Dykman, Josh Funk",9780425291986,2018,-93.6000,41.5900,"Des Moines, IA",technology,Problem-solving,2; 3,Introduces coding concepts.,Students create step-by-step instructions.,Students will learn sequencing.,30–45 minutes
17,If I Built a Car,van_dusen_car_2005.jpg,image,"Van Dusen, Chris",9780142408254,2005,-93.6000,41.5900,"Des Moines, IA",engineering,Creativity,1; 2; 3,A boy imagines a futuristic car.,Students design their own vehicles.,Students will apply creative design.,30–45 minutes
18,What Do You Do With a Problem?,yamada_problem_2016.jpg,image,"Yamada, Kobi",9781943200009,2016,-93.6000,41.5900,"Des Moines, IA",science,Problem-solving,K; 1; 2,Encourages facing challenges.,Students solve simple problems.,Students will develop resilience.,20–30 minutes
19,Rosie Revere’s Big Project Book,beaty_project_2017.jpg,image,"Beaty, Andrea",9781419719103,2017,-93.6000,41.5900,"Des Moines, IA",engineering,Design thinking,2; 3; 4,Hands-on engineering projects.,Students complete guided builds.,Students will follow design steps.,45–60 minutes
20,National Geographic Kids: Weird But True Science,ng_weirdscience.jpg,image,National Geographic Kids,9781426308642,2012,-93.6000,41.5900,"Des Moines, IA",science,Curiosity,2; 3; 4,Fun science facts.,Students explore experiments.,Students will engage curiosity.,20–30 minutes
21,The Girl Who Never Made Mistakes,pett_boyd_2011.jpg,image,"Pett, Mark",9781402255441,2011,-93.6000,41.5900,"Des Moines, IA",engineering,Growth mindset,K; 1; 2,A girl learns mistakes are okay.,Students reflect on mistakes.,Students will build resilience.,20–30 minutes
23,Building Zaha,tentler_zaha_2020.jpg,image,"Tentler-Krylov, Victoria",9781338282832,2020,-93.6000,41.5900,"Des Moines, IA",engineering; art,Innovation,2; 3; 4,Story of architect Zaha Hadid.,Students design buildings.,Students will explore architecture.,30–45 minutes
